Date,ADS
2011-12-12,102.07039690034
2011-12-13,101.2678632031
2011-12-14,99.137681167226
2011-12-15,100.6139468572
2011-12-16,102.05058125349
2011-12-19,101.85242478504
2011-12-20,104.06186940829
2011-12-21,104.74550922446
2011-12-22,104.7653248713
2011-12-23,104.7653248713
2011-12-27,104.57707622627
2011-12-28,102.96210100838
2011-12-29,103.36832176871
2011-12-30,102.88283842099
2012-01-03,101.81279349135
2012-01-04,100.00956962842
2012-01-05,101.59482137605
2012-01-06,101.59482137605
2012-01-09,103.22961224079
2012-01-10,103.99251464433
2012-01-11,105.71647591988
2012-01-12,106.40011573604
2012-01-13,105.05265175056
2012-01-17,107.24228072697
2012-01-18,108.46094300796
2012-01-19,108.83744029802
2012-01-20,107.48997631254
2012-01-23,107.78721101522
2012-01-24,109.48144882049
2012-01-25,110.11554951954
2012-01-26,109.18421411781
2012-01-27,109.38237058627
2012-01-30,108.88697941513
2012-01-31,109.77868352317
2012-02-01,109.98674781505
2012-02-02,111.31439615369
2012-02-03,114.50471529579
2012-02-06,114.90102823269
2012-02-07,114.861396939
2012-02-08,116.31784698213
2012-02-09,116.79342250642
2012-02-10,116.84296162354
2012-02-13,117.67521879104
2012-02-14,119.12176101075
2012-02-15,119.50816612423
2012-02-16,118.5768307225
2012-02-17,118.51738378197
2012-02-21,118.86415760176
2012-02-22,119.12176101075
2012-02-23,120.50885628992
2012-02-24,120.75655187549
2012-02-27,120.95470834394
2012-02-28,120.38996240885
2012-02-29,120.24134505751
2012-03-01,120.65747364126
2012-03-02,119.58742871161
2012-03-05,120.47913281966
2012-03-06,118.94342018914
2012-03-07,120.03328076563
2012-03-08,121.16277263582
2012-03-09,121.7671498646
2012-03-12,121.72751857091
2012-03-13,123.26323120143
2012-03-14,122.79756350056
2012-03-15,125.13580982831
2012-03-16,123.71899107887
2012-03-19,123.46138766988
2012-03-20,123.62982066806
2012-03-21,124.30355266081
2012-03-22,124.58097171664
2012-03-23,124.81875947878
2012-03-26,125.07636288777
2012-03-27,124.27382919054
2012-03-28,123.48120331672
2012-03-29,124.77912818509
2012-03-30,124.79894383194
2012-04-02,125.40332106072
2012-04-03,126.01760611293
2012-04-04,125.43304453099
2012-04-05,125.24479588596
2012-04-09,125.03673159408
2012-04-10,122.01484545017
2012-04-11,122.43097403392
2012-04-12,123.88742407705
2012-04-13,123.17406079062
2012-04-16,124.39272307161
2012-04-17,126.46345816695
2012-04-18,126.16622346427
2012-04-19,126.26530169849
2012-04-20,127.21645274707
2012-04-23,126.82013981016
2012-04-24,126.0473295832
2012-04-25,127.66230480109
2012-04-26,128.61345584967
2012-04-27,129.07912355053
2012-04-30,127.30562315787
2012-05-01,127.86046126954
2012-05-02,128.47474632175
2012-05-03,127.11737451284
2012-05-04,125.24479588596
2012-05-07,124.39272307161
2012-05-08,123.76853019598
2012-05-09,123.50101896357
2012-05-10,124.64041865718
2012-05-11,126.02751393635
2012-05-14,124.93765335986
2012-05-15,125.10608635804
2012-05-16,124.56115606979
2012-05-17,120.82590663945
2012-05-18,120.13235899986
2012-05-21,120.91507705025
2012-05-22,121.7671498646
2012-05-23,122.50032879788
2012-05-24,124.91783771301
2012-05-25,126.0076982895
2012-05-29,127.22636057049
2012-05-30,125.78972617421
2012-05-31,124.83857512563
2012-06-01,121.06369440159
2012-06-04,120.35033111516
2012-06-05,121.65816380695
2012-06-06,123.97659448786
2012-06-07,122.98581214559
2012-06-08,123.64963631491
2012-06-11,122.79756350056
2012-06-12,123.36230943565
2012-06-13,122.9461808519
2012-06-14,125.53212276522
2012-06-15,127.72175174163
