Date,ARNC
2011-02-02,35.914849707129
2011-02-03,35.914849707129
2011-02-04,35.768769551435
2011-02-07,36.144404237506
2011-02-08,36.311352986871
2011-02-09,35.810506738776
2011-02-10,35.727032364094
2011-02-11,36.248747205859
2011-02-14,36.707856266613
2011-02-15,36.311352986871
2011-02-16,36.707856266613
2011-02-17,36.561776110918
2011-02-18,36.060929862824
2011-02-22,34.516653931198
2011-02-23,34.307967994492
2011-02-24,34.537522524869
2011-02-25,34.808814242587
2011-02-28,35.163580334987
2011-03-01,33.869727527409
2011-03-02,33.765384559056
2011-03-03,34.704471274234
2011-03-04,34.589694009045
2011-03-07,33.91146471475
2011-03-08,34.412310962845
2011-03-09,34.015807683103
2011-03-10,32.972377999573
2011-03-11,33.452355653997
2011-03-14,33.640172997032
2011-03-15,33.473224247667
2011-03-16,32.669783391349
2011-03-17,33.410618466655
2011-03-18,33.619304403362
2011-03-21,34.539609384236
2011-03-22,34.328836588163
2011-03-23,35.372266271693
2011-03-24,35.706163770423
2011-03-25,35.664426583082
2011-03-28,35.977455488141
2011-03-29,36.499170329907
2011-03-30,36.812199234966
2011-03-31,36.853936422307
2011-04-01,36.457433142565
2011-04-04,36.645250485601
2011-04-05,37.667811575461
2011-04-06,37.834760324826
2011-04-07,37.813891731155
2011-04-08,37.396519857743
2011-04-11,37.083490952684
2011-04-12,34.850551429928
2011-04-13,34.537522524869
2011-04-14,34.537522524869
2011-04-15,34.474916743857
2011-04-18,33.661041590703
2011-04-19,34.307967994492
2011-04-20,34.725339867904
2011-04-21,35.414003459035
2011-04-25,35.24705470967
2011-04-26,35.541301880425
2011-04-27,35.852243926117
2011-04-28,35.664426583082
2011-04-29,35.476609240046
2011-05-02,35.9357183008
2011-05-03,36.874805015978
2011-05-04,36.457433142565
2011-05-05,35.497477833717
2011-05-06,35.789638145106
2011-05-09,36.582644704589
2011-05-10,36.561776110918
2011-05-11,35.580952208399
2011-05-12,35.852243926117
2011-05-13,35.747718433621
2011-05-16,35.371426660636
2011-05-17,34.388887031174
2011-05-18,34.890609395155
2011-05-19,34.848799198156
2011-05-20,33.991690159689
2011-05-23,33.406347401712
2011-05-24,33.678113682201
2011-05-25,34.138025849184
2011-05-26,34.22164624318
2011-05-27,34.451602326671
2011-05-31,35.141470577145
2011-06-01,33.636303485203
2011-06-02,33.866259568694
2011-06-03,33.280916810717
2011-06-06,32.632858757242
2011-06-07,32.800099545235
2011-06-08,32.214756787258
2011-06-09,32.40290267375
2011-06-10,31.942990506768
2011-06-13,31.566698733783
2011-06-14,32.214756787258
2011-06-15,31.274027354794
2011-06-16,30.918640680308
2011-06-17,30.772304990813
2011-06-20,30.897735581808
2011-06-21,32.131136393261
2011-06-22,31.963895605267
2011-06-23,31.942990506768
2011-06-24,31.838465014272
2011-06-27,31.942990506768
2011-06-28,32.716479151238
2011-06-29,33.071865825725
2011-06-30,33.155486219721
2011-07-01,34.096215652185
2011-07-05,34.263456440179
2011-07-06,33.949879962691
2011-07-07,34.472507425171
2011-07-08,34.24255134168
2011-07-11,33.260011712217
2011-07-12,32.841909742234
2011-07-13,33.134581121222
2011-07-14,32.319282279754
2011-07-15,32.361092476752
2011-07-18,31.713034423277
2011-07-19,32.277472082755
2011-07-20,32.42380777225
2011-07-21,32.967340333229
2011-07-22,33.092770924224
2011-07-25,32.716479151238
2011-07-26,32.361092476752
2011-07-27,31.211312059296
2011-07-28,31.002261074304
2011-07-29,30.793210089313
2011-08-01,30.835020286311
2011-08-02,29.601619474858
2011-08-03,29.873385755348
2011-08-04,27.108107410533
2011-08-05,26.793871234986
2011-08-08,23.735305792994
2011-08-09,25.641671924647
2011-08-10,24.300930908979
2011-08-11,25.662621003016
2011-08-12,25.683570081386
2011-08-15,26.31204243248
2011-08-16,25.683570081386
2011-08-17,25.683570081386
2011-08-18,24.11238920365
2011-08-19,23.483916852556
2011-08-22,23.525815009296
2011-08-23,24.468523535937
2011-08-24,24.866556024964
2011-08-25,24.279981830609
2011-08-26,24.845606946594
2011-08-29,26.018755335303
2011-08-30,25.893060865084
2011-08-31,26.814820313356
2011-09-01,26.165398883892
2011-09-02,25.22269035725
2011-09-06,24.657065241265
2011-09-07,25.662621003016
2011-09-08,25.201741278881
2011-09-09,24.259032752239
2011-09-12,24.19618551713
2011-09-13,24.363778144088
2011-09-14,24.573268927786
2011-09-15,25.096995887031
2011-09-16,25.076046808662
2011-09-19,24.259032752239
2011-09-20,23.567713166035
2011-09-21,22.708800952873
2011-09-22,21.179518231877
2011-09-23,21.095721918398
2011-09-26,21.891786896451
2011-09-27,21.95463413156
2011-09-28,20.875756595515
2011-09-29,21.074772840028
