Date,AET
2011-10-13,34.386437422177
2011-10-14,35.176182675051
2011-10-17,34.832411212035
2011-10-18,34.470057507776
2011-10-19,34.256361733469
2011-10-20,34.693044402705
2011-10-21,35.417751811224
2011-10-24,35.882307842326
2011-10-25,35.594283103043
2011-10-26,36.142459219743
2011-10-27,37.489671709939
2011-10-28,37.749823087356
2011-10-31,36.941495593239
2011-11-01,36.541977406491
2011-11-02,36.820711025152
2011-11-03,36.792837663286
2011-11-04,36.839293266396
2011-11-07,37.201646970656
2011-11-08,37.684785243002
2011-11-09,36.653470853956
2011-11-10,37.378178262475
2011-11-11,38.428074892766
2011-11-14,38.725390752671
2011-11-15,38.63247954645
2011-11-16,36.913622231373
2011-11-17,36.662761974578
2011-11-18,36.876457748885
2011-11-21,36.644179733333
2011-11-22,36.384028355916
2011-11-23,35.436334052468
2011-11-25,35.204056036917
2011-11-28,36.300408270318
2011-11-29,37.099444643814
2011-11-30,38.855466441379
2011-12-01,38.725390752671
2011-12-02,38.102885670994
2011-12-05,37.954227741041
2011-12-06,38.418783772143
2011-12-07,38.753264114537
2011-12-08,37.396760503719
2011-12-09,38.009974464774
2011-12-12,37.183064729412
2011-12-13,36.802128783908
2011-12-14,36.495521803381
2011-12-15,37.210938091278
2011-12-16,37.526836192427
2011-12-19,37.31314041812
2011-12-20,38.697517390805
2011-12-21,39.078453336308
2011-12-22,39.422224799324
2011-12-23,40.323463499662
2011-12-27,40.630070480189
2011-12-28,39.700958417985
2011-12-29,39.970400916024
2011-12-30,39.199237904395
2012-01-03,39.394351437458
2012-01-04,40.137641087221
2012-01-05,40.537159273969
2012-01-06,40.945968581339
2012-01-09,41.011006425693
2012-01-10,41.17824659689
2012-01-11,41.220056639689
2012-01-12,40.977530848191
2012-01-13,40.762988801865
2012-01-17,41.574517411879
2012-01-18,41.891666523839
2012-01-19,41.164089149343
2012-01-20,40.800300462096
2012-01-23,40.651053821173
2012-01-24,39.895492701505
2012-01-25,39.764901890698
2012-01-26,39.746246060583
2012-01-27,40.511135095309
2012-01-30,41.061482083709
2012-01-31,40.762988801865
2012-02-01,42.040913164761
2012-02-02,41.779731543147
