Date,AEE
2013-12-17,30.40962662205
2013-12-18,30.970371510116
2013-12-19,30.875476221366
2013-12-20,31.186042620911
2013-12-23,30.935864132389
2013-12-24,31.091147332161
2013-12-26,31.013505732275
2013-12-27,31.056639954434
2013-12-30,31.177415776479
2013-12-31,31.194669465342
2014-01-02,30.65117826614
2014-01-03,30.539029288527
2014-01-06,30.849595688071
2014-01-07,31.246430531933
2014-01-08,31.004878887843
2014-01-09,31.091147332161
2014-01-10,31.505235864887
2014-01-13,31.255057376365
2014-01-14,31.324072131819
2014-01-15,31.013505732275
2014-01-16,31.203296309774
2014-01-17,31.186042620911
2014-01-21,31.608757998068
2014-01-22,31.600131153637
2014-01-23,31.462101642728
2014-01-24,30.978998354548
2014-01-27,31.272311065229
2014-01-28,31.513862709319
2014-01-29,31.591504309205
2014-01-30,32.143622352839
2014-01-31,32.643979329883
2014-02-03,32.488696130111
2014-02-04,32.109114975112
2014-02-05,31.85893648659
2014-02-06,32.065980752953
2014-02-07,32.298905552611
2014-02-10,32.497322974542
2014-02-11,32.902784662836
2014-02-12,32.816516218518
2014-02-13,33.118455773631
2014-02-14,33.325500039994
2014-02-18,33.54979799522
2014-02-19,33.01493364045
2014-02-20,33.480783239766
2014-02-21,35.266540037146
2014-02-24,35.28379372601
2014-02-25,34.930093104306
2014-02-26,34.886958882147
2014-02-27,34.636780393626
2014-02-28,34.861078348852
2014-03-03,34.817944126693
2014-03-04,35.28379372601
2014-03-05,35.016361548624
2014-03-06,34.766183060102
2014-03-07,34.412482438399
2014-03-10,34.550511949308
2014-03-11,34.550511949308
2014-03-12,35.021061166272
2014-03-13,35.587463001506
2014-03-14,35.848879233153
2014-03-17,35.848879233153
2014-03-18,35.8140237356
2014-03-19,35.282477397919
2014-03-20,34.968777919942
2014-03-21,35.27376352353
2014-03-24,35.334760644248
2014-03-25,35.299905146695
2014-03-26,35.082058286989
2014-03-27,35.299905146695
2014-03-28,35.552607503953
2014-03-31,35.901162479482
2014-04-01,35.517752006401
2014-04-02,35.352188393024
2014-04-03,35.369616141801
2014-04-04,35.204052528425
2014-04-07,34.646364567578
2014-04-08,35.099486035766
2014-04-09,34.88163917606
2014-04-10,35.003633417495
2014-04-11,35.291191272307
2014-04-14,35.700743368553
2014-04-15,36.380425570835
2014-04-16,36.511133686658
2014-04-17,35.71817111733
2014-04-21,35.430613262518
2014-04-22,35.448041011295
2014-04-23,35.753026614883
2014-04-24,35.831451484377
2014-04-25,36.180006459906
2014-04-28,35.979587348976
2014-04-29,35.9621596002
2014-04-30,35.997015097753
2014-05-01,35.979587348976
2014-05-02,35.02977504066
2014-05-05,35.395757764965
2014-05-06,35.143055407707
2014-05-07,35.709457242941
2014-05-08,35.116913784542
2014-05-09,34.254240220108
2014-05-12,33.766263254368
2014-05-13,33.818546500697
2014-05-14,34.219384722555
2014-05-15,34.306523466437
2014-05-16,34.175815350614
2014-05-19,33.583271892215
2014-05-20,33.487419273944
2014-05-21,33.156292047192
2014-05-22,33.748835505591
